taxon_name,description
Deschampsia,"Perennials (in Australia) or annuals, usually caespitose, sometimes rhizomatous or stoloniferous, bisexual. Leaves mostly basal; ligule an unfringed membrane; blade rolled or once-folded in bud. Inflorescence paniculate, usually open. Spikelets pedicellate, laterally compressed, disarticulating above glumes, with (1-) 2 (-3) bisexual florets; rachilla prolonged beyond uppermost female-fertile floret and bearing an incomplete floret or naked, with hairs similar to callus. Glumes 2, ±equal, subequal or rarely very unequal, shorter than to exceeding florets, awnless, sometimes keeled; lower glume 1 or 3-nerved; upper glume wider, 3 or 5-nerved. Callus short, blunt, glabrous or hairy. Bisexual lemma usually truncate, entire or shallowly 2-lobed, 4-toothed or irregularly toothed, usually 1-awned, similar in texture to glumes to distinctly firmer, hyaline to cartilaginous, not keeled, 4-7-nerved; awn usually dorsal or subapical, weakly geniculate or straight. Palea bidentate, 2-keeled, with nerves scaberulous. Lodicules membranous, glabrous. Stamens 3. Ovary glabrous. Caryopsis free from both lemma and palea, longitudinally grooved, dorsiventrally compressed or not noticeably compressed; hilum short; endosperm hard."
Corunastylis pedersonii,"Leaf 80-160 mm long; free part 12-20 mm long, ending well below flowers. Spike 20-60 mm long, 5-30-flowered. Flowers small, widely spaced, glabrous, nodding, 1.5 x  1.5 mm, greenish red to red with dark purple labellum. Dorsal sepal 1.5 x  1.5 mm; margins reddish, glabrous. Lateral sepals obliquely erect, widely divergent, 2.5 x  1 mm; base humped. Petals 1.3 x  0.7 mm; margins reddish, glabrous. Labellum stiffly hinged, obovate, 1.6 x  1 mm, thick fleshy; margins entire; apex recurved. Callus obovate, nearly as wide as labellum, constricted near middle, extending nearly to labellum apex."
Obtusatum Group,"Fronds 1-2-pinnate, leathery or fleshy; spores with broad ridges, fenestrate; plants mostly coastal or epiphytic. Predominantly southern-temperate regions."
Phebalium lowanense,"Slender shrub to 0.8 m high. Branchlets densely silvery- to ferruginous-lepidote. Leaves spreading, subsessile, appearing terete due to strongly revolute margins, 4-12 mm long, 1 mm wide, obtuse; adaxial surface smooth or slightly scabridulous, glabrous, midrib not impressed; abaxial surface stellate-lepidote. Umbels 1-6-flowered; pedicels stout, 3-7 mm long. Calyx broadly turbinate, 3-4 mm high including the deltate lobes c. 1.5 mm long, densely stellate-lepidote. Petals obovate, c. 5 mm long, 2.5 mm wide, yellow, silvery- and ferruginous-lepidote abaxially. Style coiled and recurved in bud and remaining so during and after anthesis, densely ferruginous-stellate-lepidote in lower …”. Cocci erect, c. 3.5 mm high, rounded at summit."
Lycium,"Shrubs, often spiny, usually glabrous. Leaves alternate or clustered, simple, entire, shortly petiolate. Flowers solitary or in small groups at nodes, bisexual, actino- morphic. Calyx tubular to campanulate, unevenly 4-5-lobed, sometimes 2-lipped. Corolla funnel-shaped, creamy white to lilac, soon turning brown; limb 4-5-lobed, the lobes imbricate in bud. Stamens usually 5, unequal, inserted towards base of corolla-tube; anthers bilocular, not cohering, dorsifixed, dehiscing by longitudinal slits. Ovary bilocular; stigma capitate. Fruit a succulent berry, partially enclosed by calyx. Seeds asymmetrically D-shaped."
Eucalyptus helidonica,"Tree to 20 m tall. Forming a lignotuber.Bark rough over trunk and branches to 2-3 cm diameter then smooth, rough bark finely fibrous and prickly to touch, grey or grey-brown.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section; juvenile leaves opposite and sessile until saplings 2-3 m tall, linear to narrowly lanceolate, 6-13.5 cm long, 0.7-1.8 cm wide, base amplexicaul, discolorous, dull, green.Adult leaves alternate, petiole 0.9-2 cm long; blade lanceolate to falcate, 6-15.5 cm long, 0.9-2.5 cm wide, base tapering evenly to petiole, margin entire, apex pointed, discolorous, dull, green, side-veins at ca 45° to midrib, moderately to densely reticulate, intramarginal vein remote from margin, oil glands island.Inflorescence axillary unbranched, peduncles 1-2.5 cm long, buds usually 11 to ca 15 per umbel, pedicels 0.2-0.5 cm long. Mature buds ovoid, 0.4-0.5 cm long, ca 0.2 cm wide, green to yellow, scar absent, the single operculum shedding at flowering, operculum conical to slightly beaked, stamens irregularly flexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style long, locules 4 or 5, the placentae each with 2 vertical ovule rows;. Flowers white.Fruit pedicellate (pedicels 0.2-0.6 cm long), truncate-globose or barrel-shaped, 0.4-0.6 cm long, 0.4-0.7 cm wide, disc flat and placed just below rim or descending obliquely to vertically, valves 4 or 5, at disc level or ± enclosed.Seeds brown, 1-1.5 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth, hilum terminal. Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section; leaves opposite and sessile for at least 12 nodes, linear to narrowly lanceolate, 4-8.5 cm long, 0.5-1 cm wide, base amplexicaul at least to node 12, discolorous, dull, green."
Iva,"Annual or perennial herbs or shrubs, glandular, aromatic. Leaves opposite or alternate, sessile or subsessile, simple or lobed. Capitula solitary in leaf axils, small, nodding, discoid, heterogamous; involucral bracts 5, uniseriate, free or connate, herbaceous; receptacle convex, paleate. Outer florets few, uniseriate, female, tubular; corolla filiform (sometimes absent); style branches linear, with subulate papillose terminal appendages. Inner florets functionally male (pistil reduced), tubular, campanulate, 5-lobed; anthers free, sagittate at base with short apical appendage; style short, entire. Achenes enclosed in a very loose conceptacle consisting of the fused involucral bracts, obconical to obovoid, ±compressed, glabrous or hairy. Pappus absent."
Acacia squamata,"Erect or sometimes trailing multistemmed subshrub 0.15-0.6 m high, sometimes rhizomatous, glabrous. Stems frequently flexuose, terete, obscurely nerved, green to glaucous. Phyllodes resembling stems, distant, ±sessile, ascending to erect, terete, 2-7 cm long, 1-2 mm wide, sometimes uncinate, 4-nerved but nerves not or scarcely evident. Inflorescences 2-4-headed racemes; raceme axes short, enclosed when young by conspicuous imbricate bracts; peduncles 7-13 mm long; heads globular, 6-11-flowered, golden; bracteoles absent. Sepals united, minute, membranous, repand; petals absent. Pods linear to narrowly oblong, to c. 8 cm long, 4-5 mm wide, crustaceous; margins thick. Seeds longitudinal, oblong, c. 4 mm long, dull to slightly shiny, brown (? or black); aril terminal."
Eucalyptus fraseri subsp. fraseri,"Trees (mallets) to 15 m tall. Non-lignotuberous. Bark smooth grey to creamy white over orange shedding in long ribbons. Branchlets with oil glands in pith. Juvenile growth (coppice or wild seedling to 50 cm tall): stems square to rounded in cross-section, glaucous; juvenile leaves always petiolate, alternate, deltoid to ovate, 7.5-10.5 cm long, 3.5-6.5 cm wide, base truncate to rounded or tapering, dull, bluish-green to glaucous. Adult leaves thick, leathery, alternate, petioles 1.5-3.3 long; blade, lanceolate or falcate, 9-17 cm long, 1.3-3.5 cm wide, base tapering, margin entire, apex pointed, concolorous, bluish green maturing glossy, green, side-veins at an acute or wider angle to midrib, reticulation dense to very dense, intramarginal vein close to margin, numerous intersectional oil glands. Inflorescence axillary unbranched, peduncles stout, 0.5-1 cm long, buds 7 or 9 per umbel, shortly and stoutly pedicellate or sessile, pedicels 0-0.3 cm long. Mature buds ovoid (1-1.5 cm long, 0.6-0.7 cm wide), scar present, operculum conical and often radially striate (0.6-0.9 cm long), stamens inflexed, anthers cuboid to wedge-shaped, versatile, sub-basifixed, dehiscing by longitudinal slits, style long, straight, stigma more or less rounded, locules 4, the placentae each with 4 vertical rows of ovules. Flowers white. Fruit pedicellate or rarely sessile (pedicels 0-0.3 cm long), slightly elongated-cupular, 0.7-1.1 cm long, 0.7-1 cm wide, with 2-many shallow longitudinal striations, disc descending obliquely, valves 4, near rim level. Seeds reddish brown and glossy, 0.6-3 mm long, flattened-ovoid and slightly angular, dorsal surface sometimes lacunose, scarcely reticulate, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems square in cross-section; leaves always petiolate, opposite for 3 or 4 nodes then alternate, deltoid to ovate, 4.5-9 cm long, 3-6 cm wide, dull, grey-green to green."
Enneapogon,"Perennials or rarely annuals, caespitose. Culms of E. cylindricus and E. asperatus disarticulating at nodes with maturity. Leaves: ligule a fringe of hairs; blade rolled in bud. Inflorescences paniculate, usually terminal only. Spikelets shortly pedicellate, laterally to dorsiventrally compressed, with (1-) 3-6 florets, with 1-4 bisexual florets, disarticulating above the glumes but not between the florets; rachilla prolonged beyond the bisexual florets with incomplete florets; upper florets reducing in size, with the most distal usually reduced to lemma lobes. Glumes 2, unequal to ±equal, with the longer ±equalling to exceeding the florets, awnless, 3-23-nerved. Basal floret bisexual; callus short; lemma usually deeply 9-lobed with each lobe awned and plumose, decidedly firmer than the glumes with usually membranous margins (rarely hyaline), without a keel, 9-13-nerved (smooth or ribbed), usually with a transverse fringe of hairs inside at base of lobes (sometimes absent in E. eremophilus); stamens 3. Caryopsis oblong, elliptic to obovate or orbicular, rarely cuneate, dorsiventrally compressed; hilum less than half the length of the caryopsis; pericarp thick and hard."
