id,scientific_name,scientific_name_authorship,taxon_rank,accepted_name_usage,taxonomic_status,occurrence_status,establishment_means,degree_of_establishment,accepted_name_usage_id,family
742ce591-c1f4-4d3d-9574-7b3bca2fd2f7,[Boraginales],,order,[Boraginales],accepted,present,native,native,742ce591-c1f4-4d3d-9574-7b3bca2fd2f7,
b4f92d02-7360-4b6c-b487-23807950507e,[Dilleniales],,order,[Dilleniales],accepted,present,native,native,b4f92d02-7360-4b6c-b487-23807950507e,
ff3f3487-350c-4f31-82ca-a82b6ac81393,[Dillenianae],,superorder,[Dillenianae],accepted,present,native,native,ff3f3487-350c-4f31-82ca-a82b6ac81393,
1eb5837d-3e47-476b-a281-a7c2e8df3a35,[Saxifraganae],,superorder,[Saxifraganae],accepted,present,native,native,1eb5837d-3e47-476b-a281-a7c2e8df3a35,
c7a3dfe9-ec14-4a51-923d-b93162b32a27,Abrodictyum,C.Presl.,genus,Abrodictyum,accepted,present,native,native,c7a3dfe9-ec14-4a51-923d-b93162b32a27,Hymenophyllaceae
5d7b7eed-f92c-457e-b8be-da1c6e9b8f6b,"Abrodictyum caudatum","(Brack.) Ebihara & K.Iwats.",species,"Abrodictyum caudatum",accepted,present,native,native,5d7b7eed-f92c-457e-b8be-da1c6e9b8f6b,Hymenophyllaceae
52477e78-a853-404f-a2bb-075a4275aba1,Abrotanella,,genus,Abrotanella,accepted,present,native,native,52477e78-a853-404f-a2bb-075a4275aba1,Asteraceae
a7d8210f-d902-41d8-ae24-6d4de068fda7,"Abrotanella nivigena","(F.Muell.) F.Muell.",species,"Abrotanella nivigena",accepted,present,native,native,a7d8210f-d902-41d8-ae24-6d4de068fda7,Asteraceae
16df739c-a163-4993-afaa-58c658e97329,Abutilon,,genus,Abutilon,accepted,present,native,native,16df739c-a163-4993-afaa-58c658e97329,Malvaceae
e376c80c-df01-4faa-81ea-174efe6e9e88,"Abutilon fraseri","(Hook.) Walp.",species,"Abutilon fraseri",accepted,present,native,native,e376c80c-df01-4faa-81ea-174efe6e9e88,Malvaceae
5c9b8fcd-1975-4a0a-a019-2ce1909bd67a,"Abutilon fraseri subsp. diplotrichum","(F.Muell.) R.M.Barker",subspecies,"Abutilon fraseri subsp. diplotrichum",accepted,present,native,native,5c9b8fcd-1975-4a0a-a019-2ce1909bd67a,Malvaceae
3d37e29d-be7f-4935-a0ee-ff6f1791fe77,"Abutilon fraseri subsp. fraseri",,subspecies,"Abutilon fraseri subsp. fraseri",accepted,present,native,native,3d37e29d-be7f-4935-a0ee-ff6f1791fe77,Malvaceae
72cb66ba-98b6-4e5b-8b95-63fd1ae5e752,"Abutilon grandifolium","(Willd.) Sweet",species,"Abutilon grandifolium",accepted,present,introduced,casual,72cb66ba-98b6-4e5b-8b95-63fd1ae5e752,Malvaceae
f1f66656-3ba7-46b4-bb28-9df3809ebd43,"Abutilon indicum","(L.) Sweet",species,"Abutilon indicum",accepted,extinct,introduced,,f1f66656-3ba7-46b4-bb28-9df3809ebd43,Malvaceae
63f0cb43-67f9-47ce-8f19-2d01ec2de428,"Abutilon malvifolium","(Benth.) J.M.Black",species,"Abutilon malvifolium",accepted,present,native,native,63f0cb43-67f9-47ce-8f19-2d01ec2de428,Malvaceae
6a04d39c-5fea-4f0a-bc83-6fdb8eeeefbb,"Abutilon otocarpum",F.Muell.,species,"Abutilon otocarpum",accepted,present,native,native,6a04d39c-5fea-4f0a-bc83-6fdb8eeeefbb,Malvaceae
fe1cf971-c191-4679-a421-a207f697c094,"Abutilon oxycarpum","(F.Muell.) F.Muell. ex Benth.",species,"Abutilon oxycarpum",accepted,present,native,native,fe1cf971-c191-4679-a421-a207f697c094,Malvaceae
f769c451-fa03-4c50-aca1-6b11d6732d95,"Abutilon oxycarpum var. malvaefolium",Benth.,variety,"Abutilon malvifolium",homotypicSynonym,present,native,native,63f0cb43-67f9-47ce-8f19-2d01ec2de428,Malvaceae
9a036bb8-f615-4fab-809e-9103defca55f,"Abutilon oxycarpum var. subsagittatum",Domin,variety,"Abutilon oxycarpum var. subsagittatum",accepted,present,native,native,9a036bb8-f615-4fab-809e-9103defca55f,Malvaceae
87e18672-9e5b-4874-88d3-c560ca51a874,"Abutilon pictum","(Gillies ex Hook. & Arn.) Walp.",species,"Abutilon pictum",accepted,present,introduced,established,87e18672-9e5b-4874-88d3-c560ca51a874,Malvaceae
59f9d54c-cf01-488a-84bd-e08d1d8ff083,"Abutilon theophrasti",Medik.,species,"Abutilon theophrasti",accepted,present,introduced,established,59f9d54c-cf01-488a-84bd-e08d1d8ff083,Malvaceae
dfe52d12-cc3f-4620-8a9b-ab8361322615,Acacia,,genus,Acacia,accepted,present,native,native,dfe52d12-cc3f-4620-8a9b-ab8361322615,Fabaceae
588817df-2591-461b-a4c5-c5dc5d18e980,"Acacia acanthoclada",F.Muell.,species,"Acacia acanthoclada",accepted,present,native,native,588817df-2591-461b-a4c5-c5dc5d18e980,Fabaceae
792b7e3c-9d40-487d-8aec-d057fda725e1,"Acacia acanthoclada subsp. acanthoclada",,subspecies,"Acacia acanthoclada subsp. acanthoclada",accepted,present,native,native,792b7e3c-9d40-487d-8aec-d057fda725e1,Fabaceae
63bd1b91-99f6-4eff-b093-675b249e7aad,"Acacia acinacea",Lindl.,species,"Acacia acinacea",accepted,present,native,native,63bd1b91-99f6-4eff-b093-675b249e7aad,Fabaceae
72dd0540-6407-42f7-aa78-d90a36a66e82,"Acacia aculeatissima","J.F.Macbr.   ",species,"Acacia aculeatissima",accepted,present,native,native,72dd0540-6407-42f7-aa78-d90a36a66e82,Fabaceae
eba3f776-5e84-43a4-bf83-f03f7c1f5c7d,"Acacia acuminata",Benth.,species,"Acacia acuminata",accepted,present,introduced,casual,eba3f776-5e84-43a4-bf83-f03f7c1f5c7d,Fabaceae
d482bc62-b03a-4fea-8510-6a32fb82f11d,"Acacia aff. aspera (Brisbane Ranges)",,species,"Acacia aspera subsp. parviceps",synonym,present,native,native,72170b16-8a67-4625-896f-d3328571791f,Fabaceae
62c300f6-42e5-4cfd-87c0-e124b780c0a8,"Acacia aff. dealbata (Monaro)",,species,"Acacia dealbata subsp. subalpina",synonym,present,native,native,57e50d56-5881-4ac4-8130-046979673a9f,Fabaceae
26bfddd1-0e2a-44f2-97bc-91f601cedeb5,"Acacia alpina",F.Muell.,species,"Acacia alpina",accepted,present,native,native,26bfddd1-0e2a-44f2-97bc-91f601cedeb5,Fabaceae
d778ce83-6cc7-4d80-86ea-16e85819ff1e,"Acacia amoena",H.L.Wendl.,species,"Acacia amoena",accepted,present,native,native,d778ce83-6cc7-4d80-86ea-16e85819ff1e,Fabaceae
6e24c8cd-bbd6-4c8e-abdb-753f62287f2f,"Acacia ancistrophylla",C.R.P.Andrews,species,"Acacia ancistrophylla",accepted,present,native,native,6e24c8cd-bbd6-4c8e-abdb-753f62287f2f,Fabaceae
07ca7c9c-95b7-49f3-83a8-f1267d79a996,"Acacia ancistrophylla var. lissophylla","Cowan & Maslin",variety,"Acacia ancistrophylla var. lissophylla",accepted,present,native,native,07ca7c9c-95b7-49f3-83a8-f1267d79a996,Fabaceae
1c71a762-47dd-475d-abaa-5048a5f26648,"Acacia argyrophylla",Hook.,species,"Acacia argyrophylla",accepted,extinct,native,native,1c71a762-47dd-475d-abaa-5048a5f26648,Fabaceae
522fbfcf-7a17-4350-953b-ca7f765ff0fe,"Acacia armata",R.Br.,species,"Acacia paradoxa",heterotypicSynonym,present,native,native,fc1c0e04-bf6f-4220-aac8-7a26a9eb36dc,Fabaceae
6b2fa0b1-f7b7-4737-a9e7-7c9429c28a56,"Acacia aspera",Lindl.,species,"Acacia aspera",accepted,present,native,native,6b2fa0b1-f7b7-4737-a9e7-7c9429c28a56,Fabaceae
292d0618-9f67-4dbe-9b6f-202b2dd4431e,"Acacia aspera subsp. aspera",,subspecies,"Acacia aspera subsp. aspera",accepted,present,native,native,292d0618-9f67-4dbe-9b6f-202b2dd4431e,Fabaceae
72170b16-8a67-4625-896f-d3328571791f,"Acacia aspera subsp. parviceps",N.G.Walsh,subspecies,"Acacia aspera subsp. parviceps",accepted,present,native,native,72170b16-8a67-4625-896f-d3328571791f,Fabaceae
86d88785-b188-43d5-8f89-f82c3708d6b8,"Acacia ausfeldii",Regel,species,"Acacia ausfeldii",accepted,present,native,native,86d88785-b188-43d5-8f89-f82c3708d6b8,Fabaceae
238b3bfd-4a0c-4638-b928-485897ec580d,"Acacia baileyana",F.Muell.,species,"Acacia baileyana",accepted,present,introduced,established,238b3bfd-4a0c-4638-b928-485897ec580d,Fabaceae
57030e5e-5104-4983-8794-c7c8e6b39353,"Acacia binervia","(J.C.Wendl.) J.F.Macbr.",species,"Acacia binervia",accepted,present,native,native,57030e5e-5104-4983-8794-c7c8e6b39353,Fabaceae
6a7f0f74-4396-4365-8f59-ade85e6a2efc,"Acacia bivenosa subsp. wayi","(Maiden) Pedley",subspecies,"Acacia cupularis",heterotypicSynonym,present,native,native,d9dacc5e-ba7b-4dcb-a9cc-f9f93292d4f0,Fabaceae
424647e8-19d1-49dd-9a05-9285475d54a3,"Acacia boormanii",Maiden,species,"Acacia boormanii",accepted,present,native,native,424647e8-19d1-49dd-9a05-9285475d54a3,Fabaceae
c099825a-f06d-4e17-a587-77207c25e3c7,"Acacia boormanii subsp. boormanii",,subspecies,"Acacia boormanii subsp. boormanii",accepted,present,native,native,c099825a-f06d-4e17-a587-77207c25e3c7,Fabaceae
bfad5dd5-a96f-4673-be22-7df3bd431b9e,"Acacia boormanii subsp. gibba",K.J.Tucker,subspecies,"Acacia boormanii subsp. gibba",accepted,present,native,native,bfad5dd5-a96f-4673-be22-7df3bd431b9e,Fabaceae
58ae511f-56e4-4d8d-abd7-44ea03174d52,"Acacia botrycephala","(Vent.) Desf.",species,"Acacia terminalis",heterotypicSynonym,present,native,native,85f77f60-3602-4939-a913-77668789546a,Fabaceae
3d32c7c5-a8c6-4572-b9fe-8d7031b6befc,"Acacia brachybotrya",Benth.,species,"Acacia brachybotrya",accepted,present,native,native,3d32c7c5-a8c6-4572-b9fe-8d7031b6befc,Fabaceae
3b409aa5-3392-4d3a-affe-c74116ef1553,"Acacia brownii","(Poir.) Steud.",species,"Acacia brownii",accepted,present,native,native,3b409aa5-3392-4d3a-affe-c74116ef1553,Fabaceae
e34fae70-5d2a-47a8-bcdd-65cda02dd435,"Acacia buxifolia",A.Cunn.,species,"Acacia buxifolia",accepted,present,native,native,e34fae70-5d2a-47a8-bcdd-65cda02dd435,Fabaceae
d3ae3354-f239-4511-892f-27ae0b4a3cec,"Acacia buxifolia subsp. buxifolia",,subspecies,"Acacia buxifolia subsp. buxifolia",accepted,present,native,native,d3ae3354-f239-4511-892f-27ae0b4a3cec,Fabaceae
ae25af1a-127c-495a-898a-107df378bd84,"Acacia caerulescens","Maslin & Court",species,"Acacia caerulescens",accepted,present,native,native,ae25af1a-127c-495a-898a-107df378bd84,Fabaceae
12add050-aaaa-4076-b056-ef2c8e8d072b,"Acacia calamifolia","Sweet ex Lindl.",species,"Acacia euthycarpa",misapplication,present,native,native,8c604e71-41d9-4a86-b525-3c7b1d4f39b1,Fabaceae
80fd85d5-f6ac-4ce4-9e66-efdb6f4e2fa3,"Acacia cardiophylla","A.Cunn. ex Benth.",species,"Acacia cardiophylla",accepted,present,introduced,casual,80fd85d5-f6ac-4ce4-9e66-efdb6f4e2fa3,Fabaceae
711600ac-7f8a-4ea9-a404-b1769c049728,"Acacia cineramis",H.K.Orel,species,"Acacia cineramis",accepted,present,native,native,711600ac-7f8a-4ea9-a404-b1769c049728,Fabaceae
ded6fe31-cefe-41d4-82bf-23574075d469,"Acacia cognata",Domin,species,"Acacia cognata",accepted,present,native,native,ded6fe31-cefe-41d4-82bf-23574075d469,Fabaceae
73ec4261-4198-4380-9e61-cc91ed119426,"Acacia colletioides",Benth.,species,"Acacia colletioides",accepted,present,native,native,73ec4261-4198-4380-9e61-cc91ed119426,Fabaceae
76abff97-353c-4dcb-9c1b-a4beacdd8371,"Acacia cultriformis","A.Cunn. ex G.Don",species,"Acacia cultriformis",accepted,present,introduced,casual,76abff97-353c-4dcb-9c1b-a4beacdd8371,Fabaceae
d9dacc5e-ba7b-4dcb-a9cc-f9f93292d4f0,"Acacia cupularis",Domin,species,"Acacia cupularis",accepted,present,native,native,d9dacc5e-ba7b-4dcb-a9cc-f9f93292d4f0,Fabaceae
a8e3ac39-0320-48ff-a4a3-ab735047042f,"Acacia cyclops","A.Cunn. ex G.Don",species,"Acacia cyclops",accepted,present,introduced,established,a8e3ac39-0320-48ff-a4a3-ab735047042f,Fabaceae
