"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Proboscidea","Annual or perennial herbs, spreading, viscid. Leaves opposite, petiolate, lamina entire or shallowly lobed, rounded. Inflorescence a terminal raceme, few–many-flowered; calyx 5-lobed, tube split to the base on the lower side, viscid pubescent; corolla cream to red-purple, tubular, expanded into the 5-lobed limb, lobes rounded, unequal; fertile stamens 4; stigma of 2 flattened lobes. Capsule rough (not spiny), crested on the dorsal side and extended at the apex into 2 long horns."," annual or perennial herbs, spreading, viscid. ","annual perennial","annual perennial","herb","herbs",,,,,"spreading","spreading"
"Alchemilla","Perennial herbs with woody rhizomes. Leaves mostly basal, palmately lobed to palmatifid; stipules large and persistent. Inflorescence a compound cyme with flowers aggregated into clusters. Epicalyx and calyx 4-lobed (in Victoria); petals absent; hypanthium campanulate to urceolate; stamens 1–5, inserted on disc; ovary superior, 1-locular with 1 ovule; stigma and style 1, style basal. Fruit an achene, wholly or partly enclosed by hypanthium."," perennial herbs with woody rhizomes. ","perennial","perennial","herb","herbs",,,,,"rhizomatous","rhizomes"
"Austrostipa flavescens","Tufted, shortly rhizomatous perennial, culms erect, to 1.2 m high, nodes pubescent to almost glabrous. Leaves glabrous to densely pubescent; blade flat to inrolled to 70 cm long and 7 mm broad when flattened, erect to flexuose; ligule ciliate, to 0.6 mm long. Inflorescence typically a dense, slender panicle to 30 cm long, or occasionally inflorescence open and sparse. Glumes 10–15 mm long, rarely purplish, acuminate, membranous throughout, subequal, or the lower longer by up to 3 mm than upper; lemma 6–9 mm long, maturing to dark brown or black, granular to minutely scabrous near summit, lightly covered with semi-appressed golden hairs; coma erect with hairs no longer than those of the body of the lemma; callus 1.6–3 mm long; awn twice bent, 40–70 mm long, 9–18 mm to the first bend, column shortly pubescent; palea slightly shorter than lemma, silky-hairy along the centre line. Flowers Oct.–Dec."," tufted, shortly rhizomatous perennial, culms erect, to 1.2 m high, nodes pubescent to almost glabrous. ","perennial","perennial",,,,,,,"erect rhizomatous","erect rhizomatous"
"Acacia siculiformis","Glabrous shrub, to 2–3 m high, sometimes procumbent; penultimate branchlets with prominent lenticels and/or bark breaking into more or less rectangular flakes. Phyllodes spreading to inclined, sessile, lanceolate to narrowly elliptic, normally slightly asymmetric, usually 1–3.5 cm long, 1.5–4 mm wide, rigid, base unequal and oblique, pungent; midrib prominent; gland obscure, sometimes absent, 3–6 mm above pulvinus; stipules c. 0.5 mm long. Peduncles normally 1 per axil, 0–13 mm long, basal bract frequently cleft; heads globular, 30–40-flowered, pale yellow. Flowers 5-merous; sepals free. Pods stalked, oblong to narrowly oblong, to 5.5 cm long, 4–7 mm wide, chartaceous; seeds transverse to oblique, oblong to elliptic, 3–3.5 mm long, dark grey-brown to black, without aril, funicle filiform. Flowers Sep.–Dec."," glabrous shrub, to 2–3 m high, sometimes procumbent; ",,,"shrub","shrub",,,,,"prostrate","procumbent"
"Argentipallium","Perennial herbs, branches covered with greyish or silvery, silky or cottony indumentum. Leaves entire, sessile, alternate. Capitula solitary and terminal, or in loose inflorescences, homogamous or heterogamous, discoid or disciform; involucral bracts multiseriate, papery; outer bracts brown and lacking a petaloid lamina or obscured by a dense indumentum of cottony or woolly hairs, inner bracts each with a long, white lamina; receptacle convex, glabrous, ebracteate. Florets all bisexual or the outermost female; corolla of bisexual florets regularly 5-lobed; anthers 5, caudate; style branches truncate or rounded, shortly papillate. Cypselas subterete, c. 1 mm long, papillate, with a conspicuous annular base; pappus of barbellate or plumose bristles, shortly united at base (sometimes absent from female florets)."," perennial herbs, branches covered with greyish or silvery, silky or cottony indumentum. ","perennial","perennial","herb","herbs",,,,,,
"Linaria arvensis","Erect glaucous annual 10–40 cm high, simple or much-branched, glabrous except for glandular-hairy inflorescence. Leaves whorled below, alternate up stem, linear to narrow-elliptic, 0.4–3.5 cm long, 1–2 mm wide. Inflorescence many-flowered, at first dense, elongating in fruit; bracts 1–3 mm long; flowers c. sessile, pedicels 1–2 mm in fruit. Sepals 2 mm long, c. 3 mm in fruit; corolla 3–4 mm long, pale blue to purple, palate at least sometimes white, spur at right-angles to tube, 1.5–3 mm long, curved, upper lip pointed outwards, lower lip longest, recurved. Capsule c. globose, 3–4 mm long, glabrous, breaking in apical half into 4–6 valves; seeds winged. Flowers mostly spring."," erect glaucous annual 10–40 cm high, simple or much-branched, glabrous except for glandular-hairy inflorescence. ","annual","annual",,,,,,,"erect","erect"
"Silene latifolia subsp. alba","Annual to perennial; usually densely and softly hairy, more or less glandular above. Stems erect, much-branched, 30–80 cm long. Leaves ovate-elliptic to lanceolate, 40–90 mm long, 8–30 mm wide with white, spreading hairs, glandular above; lower leaves with petioles to 25 mm long; upper leaves sessile. Inflorescence lax, few-flowered; bracts herbaceous. Flowers unisexual; pedicels 5–20 mm long; male calyx 12–22 mm long, 10-veined; female calyx 20–30 mm long, 20-veined, inflated in fruit, calyx-lobes narrow-triangular, acute; petal-limb 14–18 mm long, white, deeply bifid; styles 5. Capsule ovoid-conical, 10–20 mm long; carpophore absent; seeds more or less reniform, grey, bluntly tuberculate, 1.3–1.5 mm long. Flowers spring."," annual to perennial; usually densely and softly hairy, more or less glandular above. ","annual perennial","annual perennial",,,,,,,,
"Consolida ajacis","Erect, sometimes branching herbs to 1 m high. Leaves orbicular in outline, 1–5 cm diam., glabrous or puberulent, segments linear, to 1.5 mm wide (wider on basal leaves). Inflorescence racemose, occasionally paniculate; bracts lobed, bracteoles not reaching the base of flower; pedicle 1–3 cm long. Flowers blue to purple, rarely pink or white; sepals 10–14(–20) mm long; spur 13–18 mm long; petals 3-lobed, with bifid upper lobe. Follicle 15–25 mm long, pubescent. Seeds black. Flowers Dec.–Jan.   "," erect, sometimes branching herbs to 1 m high. ",,,"herb","herbs",,,,,"erect","erect"
"Ptilotus sessilifolius","Weakly shrubby perennial to c. 80 cm high and wide. Stems and leaves appearing greyish from a moderately dense stellate indumentum. Leaves lanceolate to oblanceolate, less commonly ovate or obovate, 1–12 cm long, 3–25 mm wide, margins often undulate, scattered along branches, the lower ones petiolate, sometimes rosetted. Spikes hemispherical, 1–2.5 cm long, 2.5–3 cm diam., relatively sparse, pink, or white with pink tips; bract ovate or orbicular, 3–4 mm long, acute or shortly mucronate, brown, pubescent; bracteoles broadly elliptic, obtuse or truncate, 1–2 mm longer than bract; perianth 12–15 mm long; tepals fused for c. 1.5 mm at base, otherwise free, outer surface with long, silky hairs in the distal half (but apex glabrous and exposed for c. 1 mm), overlying a denser layer of shorter barbed hairs that extend to the base, inner surface long-woolly toward base, elsewhere glabrous, but marginal hairs often inflexed and overlaying surface; fertile stamens 3; ovary shortly stalked, glabrous. Flowers mainly Oct.–Mar."," weakly shrubby perennial to circa 80 cm high and wide. ","perennial","perennial",,,,,,,,
"Hydrocotyle comocarpa","Procumbent or ascending annual 3–15 cm high, usually branched from base. Leaf-lamina orbicular-cordate to reniform, mostly glabrous, 5–10 mm across, deeply 5–7-lobed, lobes crenate; petiole c. 1–5 cm long, pilose with long simple hairs; stipules narrow-obovate to lanceolate, entire, white to yellow. Umbels simple, leaf-opposed, 3–6 mm diam., 10–20-flowered; peduncle 5–8 mm long; pedicel to 0.5 mm long. Fruits broad-ovate to almost circular, slightly compressed laterally, c. 2 mm long, c. 1.5 mm wide; mericarps with a row of flat scarious hairs to c. 1 mm long at apex, dorsal edges of mericarps obtuse, lateral faces transversely wrinkled or ridged. Flowers spring."," procumbent or ascending annual 3–15 cm high, usually branched from base. ","annual","annual",,,,,,,"decumbent prostrate","ascending procumbent"
